list::1::Owner Names,list::1::Address,image::1::1,location::1::latitude,location::1::longitude,image::1::2,image::1::3,image::1::4,image::1::5,image::1::6,image::1::7,image::1::8,image::1::9,list::1::Brokerage,list::1::Asking Rate,list::1::Parking Ratio,list::1::Total Building SF,list::1::Prime SF Available,list::1::Sublet SF Available,icon::1::Food Service,icon::1::Fitness Center,notes::1::Notes,icon::1::Conference Facility,icon::1::Outdoor Environment,list::1::Max Building Contiguous Space
Brandywine Realty Trust,2121 Cooperative Way,properties/example/primary.jpg,38.954214,-77.400746,,,,,,,,,Brandywine Realty Trust,32,3.4,157312,40892,0,x,x,"Conferencing Facility, Courtyard, Fitness Center, Food Service",x,x,24289
Brandywine Realty Trust,2201 Cooperative Way,properties/example/primary.jpg,38.954191,-77.401665,,,,,,,,,Brandywine Realty Trust,32,3.4,128173,6842,26992,x,x,"Conferencing Facility, Courtyard, Fitness Center, Food Service",x,x,21992
KBS Realty Advisors,2303 Dulles Station Blvd,,38.959345,-77.414667,,,,,,,,,Newmark Grubb Knight Frank,33,3.6,186734,12652,45529,,,,,,24393
Bernstein Management Corporation,11600 Sunrise Valley Dr,,38.947686,-77.348255,,,,,,,,,Bernstein Management Corporation,27.62,2.21,158102,32754,3892,x,x,"Fitness Center, Restaurant",,,10531
KBS Realty Advisors,11790 Sunrise Valley Dr,,38.950497,-77.353013,,,,,,,,,Avison Young,34.5,3.4,139071,14283,5448,,x, Fitness Center,,,14283
Settlement Corp.,13755 Sunrise Valley Dr,,38.960192,-77.421059,,,,,,,,,Lincoln Property Company,24.5,3.5,102870,33311,0,,,,,,17198
Brandywine Realty Trust,2291 Wood Oak Dr,,38.953604,-77.398589,,,,,,,,,Brandywine Realty Trust,34.5,4,230389,22279,8345,x,x,"Conferencing Facility,  Courtyard, Fitness Center, Food Service",x,x,22279
Tishman Speyer,2001 Edmund Halley Dr,,38.951542,-77.359737,,,,,,,,,Tishman Speyer,Withheld,4,152124,32481,0,x,x,"Courtyard, Fitness Center, Food Service",,x,210688
Tishman Speyer,2003 Edmund Halley Dr,,38.951066,-77.358913,,,,,,,,,Tishman Speyer,Withheld,4,179927,79495,0,x,x,"Courtyard, Fitness Center, Food Service",,x,231619
Colony Realty Partners,1800 Alexander Bell Dr,,38.943137,-77.32135,,,,,,,,,JLL,25.22,3.5,137121,54909,500,x,x,"Fitness Center, Food Service",,,17915
American Society of Civil Engineers,1801 Alexander Bell Dr,,38.944135,-77.32128,,,,,,,,,Cushman & Wakefield,28.5,3.6,107609,20801,0,x,,"Conferencing Facility, Food Service",x,,20801
TA Realty,1881 Campus Commons Dr,,38.943953,-77.335806,,,,,,,,,Cushman & Wakefield,35,4,244565,11682,2847,,x,Fitness Center,,,11682
